split,metric,value
train,accuracy,0.952735
train,macro_precision,0.952492
train,macro_recall,0.967765
train,macro_f1,0.959237
train,weighted_precision,0.955990
train,weighted_recall,0.952735
train,weighted_f1,0.953398
train,mae,0.051939
train,qwk,0.977889
val,accuracy,0.616223
val,macro_precision,0.671407
val,macro_recall,0.664225
val,macro_f1,0.661680
val,weighted_precision,0.659726
val,weighted_recall,0.616223
val,weighted_f1,0.630590
val,mae,0.439467
val,qwk,0.796255
test,accuracy,0.641304
test,macro_precision,0.682850
test,macro_recall,0.669165
test,macro_f1,0.672547
test,weighted_precision,0.672872
test,weighted_recall,0.641304
test,weighted_f1,0.653323
test,mae,0.402778
test,qwk,0.820674
