split,metric,value
val,accuracy,0.674334
val,macro_precision,0.714456
val,macro_recall,0.685076
val,macro_f1,0.694267
val,weighted_precision,0.689481
val,weighted_recall,0.674334
val,weighted_f1,0.677566
val,mae,0.389831
val,qwk,0.811056
val,kl0_recall,0.786585
val,kl1_recall,0.483660
val,kl1_f1,0.431487
val,kl2_recall,0.547170
val,boundary_KL1_to_KL0,51.000000
val,boundary_KL1_to_KL2,22.000000
val,boundary_KL0_to_KL1,54.000000
val,boundary_KL2_to_KL1,59.000000
test,accuracy,0.644928
test,macro_precision,0.693214
test,macro_recall,0.653921
test,macro_f1,0.664717
test,weighted_precision,0.670383
test,weighted_recall,0.644928
test,weighted_f1,0.649710
test,mae,0.402174
test,qwk,0.822022
test,kl0_recall,0.773083
test,kl1_recall,0.435811
test,kl1_f1,0.370158
test,kl2_recall,0.492170
test,boundary_KL1_to_KL0,118.000000
test,boundary_KL1_to_KL2,44.000000
test,boundary_KL0_to_KL1,126.000000
test,boundary_KL2_to_KL1,139.000000
