split,metric,value
val,accuracy,0.589588
val,macro_precision,0.547091
val,macro_recall,0.443255
val,macro_f1,0.409734
val,weighted_precision,0.490085
val,weighted_recall,0.589588
val,weighted_f1,0.516708
val,mae,0.566586
val,qwk,0.689939
val,kl0_recall,0.878049
val,kl1_recall,0.000000
val,kl1_f1,0.000000
val,kl2_recall,0.594340
val,boundary_KL1_to_KL0,109.000000
val,boundary_KL1_to_KL2,40.000000
val,boundary_KL0_to_KL1,0.000000
val,boundary_KL2_to_KL1,0.000000
val,fgbf_low_grade_accuracy,0.624820
val,fgbf_kl0_precision,0.622030
val,fgbf_kl0_recall,0.878049
val,fgbf_kl0_f1,0.728192
val,fgbf_kl1_precision,0.444444
val,fgbf_kl1_recall,0.052288
val,fgbf_kl1_f1,0.093567
val,fgbf_kl2_precision,0.646226
val,fgbf_kl2_recall,0.646226
val,fgbf_kl2_f1,0.646226
val,fgbf_boundary_KL1_to_KL0,105.000000
val,fgbf_boundary_KL1_to_KL2,40.000000
test,accuracy,0.585145
test,macro_precision,0.545071
test,macro_recall,0.423231
test,macro_f1,0.399181
test,weighted_precision,0.489373
test,weighted_recall,0.585145
test,weighted_f1,0.513500
test,mae,0.573068
test,qwk,0.679539
test,kl0_recall,0.904538
test,kl1_recall,0.000000
test,kl1_f1,0.000000
test,kl2_recall,0.599553
test,boundary_KL1_to_KL0,206.000000
test,boundary_KL1_to_KL2,85.000000
test,boundary_KL0_to_KL1,0.000000
test,boundary_KL2_to_KL1,0.000000
test,fgbf_low_grade_accuracy,0.637482
test,fgbf_kl0_precision,0.621505
test,fgbf_kl0_recall,0.904538
test,fgbf_kl0_f1,0.736775
test,fgbf_kl1_precision,0.281250
test,fgbf_kl1_recall,0.030405
test,fgbf_kl1_f1,0.054878
test,fgbf_kl2_precision,0.700000
test,fgbf_kl2_recall,0.657718
test,fgbf_kl2_f1,0.678201
test,fgbf_boundary_KL1_to_KL0,207.000000
test,fgbf_boundary_KL1_to_KL2,80.000000
