split,metric,value
val,accuracy,0.639225
val,macro_precision,0.606248
val,macro_recall,0.650076
val,macro_f1,0.615603
val,weighted_precision,0.599333
val,weighted_recall,0.639225
val,weighted_f1,0.607899
val,mae,0.475787
val,qwk,0.761178
val,kl0_recall,0.795732
val,kl1_recall,0.117647
val,kl1_f1,0.172249
val,kl2_recall,0.674528
val,boundary_KL1_to_KL0,77.000000
val,boundary_KL1_to_KL2,50.000000
val,boundary_KL0_to_KL1,23.000000
val,boundary_KL2_to_KL1,14.000000
val,fgbf_low_grade_accuracy,0.645022
val,fgbf_kl0_precision,0.701333
val,fgbf_kl0_recall,0.801829
val,fgbf_kl0_f1,0.748222
val,fgbf_kl1_precision,0.316667
val,fgbf_kl1_recall,0.124183
val,fgbf_kl1_f1,0.178404
val,fgbf_kl2_precision,0.639535
val,fgbf_kl2_recall,0.778302
val,fgbf_kl2_f1,0.702128
val,fgbf_boundary_KL1_to_KL0,80.000000
val,fgbf_boundary_KL1_to_KL2,54.000000
test,accuracy,0.666667
test,macro_precision,0.640329
test,macro_recall,0.665194
test,macro_f1,0.640217
test,weighted_precision,0.630502
test,weighted_recall,0.666667
test,weighted_f1,0.636806
test,mae,0.420290
test,qwk,0.800722
test,kl0_recall,0.843505
test,kl1_recall,0.145270
test,kl1_f1,0.208738
test,kl2_recall,0.651007
test,boundary_KL1_to_KL0,138.000000
test,boundary_KL1_to_KL2,105.000000
test,boundary_KL0_to_KL1,46.000000
test,boundary_KL2_to_KL1,26.000000
test,fgbf_low_grade_accuracy,0.665702
test,fgbf_kl0_precision,0.708058
test,fgbf_kl0_recall,0.838811
test,fgbf_kl0_f1,0.767908
test,fgbf_kl1_precision,0.338462
test,fgbf_kl1_recall,0.148649
test,fgbf_kl1_f1,0.206573
test,fgbf_kl2_precision,0.686869
test,fgbf_kl2_recall,0.760626
test,fgbf_kl2_f1,0.721868
test,fgbf_boundary_KL1_to_KL0,145.000000
test,fgbf_boundary_KL1_to_KL2,107.000000
