split,metric,value
val,accuracy,0.684019
val,macro_precision,0.714447
val,macro_recall,0.685942
val,macro_f1,0.670346
val,weighted_precision,0.682873
val,weighted_recall,0.684019
val,weighted_f1,0.654710
val,mae,0.422518
val,qwk,0.782462
val,kl0_recall,0.841463
val,kl1_recall,0.176471
val,kl1_f1,0.275510
val,kl2_recall,0.750000
val,boundary_KL1_to_KL0,74.000000
val,boundary_KL1_to_KL2,50.000000
val,boundary_KL0_to_KL1,11.000000
val,boundary_KL2_to_KL1,5.000000
val,fgbf_low_grade_accuracy,0.679654
val,fgbf_kl0_precision,0.718421
val,fgbf_kl0_recall,0.832317
val,fgbf_kl0_f1,0.771186
val,fgbf_kl1_precision,0.533333
val,fgbf_kl1_recall,0.209150
val,fgbf_kl1_f1,0.300469
val,fgbf_kl2_precision,0.656126
val,fgbf_kl2_recall,0.783019
val,fgbf_kl2_f1,0.713978
val,fgbf_boundary_KL1_to_KL0,71.000000
val,fgbf_boundary_KL1_to_KL2,50.000000
test,accuracy,0.677536
test,macro_precision,0.662407
test,macro_recall,0.659949
test,macro_f1,0.645898
test,weighted_precision,0.638326
test,weighted_recall,0.677536
test,weighted_f1,0.642560
test,mae,0.396739
test,qwk,0.812135
test,kl0_recall,0.851330
test,kl1_recall,0.104730
test,kl1_f1,0.160207
test,kl2_recall,0.756152
test,boundary_KL1_to_KL0,148.000000
test,boundary_KL1_to_KL2,114.000000
test,boundary_KL0_to_KL1,35.000000
test,boundary_KL2_to_KL1,23.000000
test,fgbf_low_grade_accuracy,0.681621
test,fgbf_kl0_precision,0.730245
test,fgbf_kl0_recall,0.838811
test,fgbf_kl0_f1,0.780772
test,fgbf_kl1_precision,0.347458
test,fgbf_kl1_recall,0.138514
test,fgbf_kl1_f1,0.198068
test,fgbf_kl2_precision,0.688679
test,fgbf_kl2_recall,0.816555
test,fgbf_kl2_f1,0.747185
test,fgbf_boundary_KL1_to_KL0,144.000000
test,fgbf_boundary_KL1_to_KL2,111.000000
