split,metric,value
val,accuracy,0.644068
val,macro_precision,0.636670
val,macro_recall,0.643209
val,macro_f1,0.634478
val,weighted_precision,0.620553
val,weighted_recall,0.644068
val,weighted_f1,0.625837
val,mae,0.451574
val,qwk,0.777486
val,kl0_recall,0.835366
val,kl1_recall,0.222222
val,kl1_f1,0.274194
val,kl2_recall,0.589623
val,boundary_KL1_to_KL0,83.000000
val,boundary_KL1_to_KL2,32.000000
val,boundary_KL0_to_KL1,32.000000
val,boundary_KL2_to_KL1,29.000000
val,fgbf_low_grade_accuracy,0.646465
val,fgbf_kl0_precision,0.689922
val,fgbf_kl0_recall,0.814024
val,fgbf_kl0_f1,0.746853
val,fgbf_kl1_precision,0.362069
val,fgbf_kl1_recall,0.274510
val,fgbf_kl1_f1,0.312268
val,fgbf_kl2_precision,0.731579
val,fgbf_kl2_recall,0.655660
val,fgbf_kl2_f1,0.691542
val,fgbf_boundary_KL1_to_KL0,81.000000
val,fgbf_boundary_KL1_to_KL2,30.000000
test,accuracy,0.661836
test,macro_precision,0.660691
test,macro_recall,0.642837
test,macro_f1,0.645669
test,weighted_precision,0.637336
test,weighted_recall,0.661836
test,weighted_f1,0.641832
test,mae,0.416063
test,qwk,0.802365
test,kl0_recall,0.882629
test,kl1_recall,0.212838
test,kl1_f1,0.265263
test,kl2_recall,0.601790
test,boundary_KL1_to_KL0,163.000000
test,boundary_KL1_to_KL2,66.000000
test,boundary_KL0_to_KL1,47.000000
test,boundary_KL2_to_KL1,63.000000
test,fgbf_low_grade_accuracy,0.664978
test,fgbf_kl0_precision,0.701643
test,fgbf_kl0_recall,0.868545
test,fgbf_kl0_f1,0.776224
test,fgbf_kl1_precision,0.353774
test,fgbf_kl1_recall,0.253378
test,fgbf_kl1_f1,0.295276
test,fgbf_kl2_precision,0.762533
test,fgbf_kl2_recall,0.646532
test,fgbf_kl2_f1,0.699758
test,fgbf_boundary_KL1_to_KL0,159.000000
test,fgbf_boundary_KL1_to_KL2,62.000000
