split,metric,value
train,accuracy,0.614093
train,macro_precision,0.654686
train,macro_recall,0.665969
train,macro_f1,0.659314
train,weighted_precision,0.616626
train,weighted_recall,0.614093
train,weighted_f1,0.614567
train,mae,0.470048
train,qwk,0.812215
train,kl0_recall,0.618557
train,kl0_f1,0.621047
train,kl1_recall,0.391681
train,kl1_f1,0.372323
train,kl2_recall,0.520029
train,kl2_f1,0.548809
train,boundary_KL1_to_KL0,439.000000
train,boundary_KL1_to_KL2,229.000000
train,boundary_KL0_to_KL1,484.000000
train,boundary_KL2_to_KL1,314.000000
train,low_grade_min_recall,0.391681
train,low_grade_min_f1,0.372323
train,low_grade_worst_class,1.000000
train,fgbf_low_grade_accuracy,0.564007
train,fgbf_kl0_precision,0.619726
train,fgbf_kl0_recall,0.647766
train,fgbf_kl0_f1,0.633436
train,fgbf_kl1_precision,0.362468
train,fgbf_kl1_recall,0.366551
train,fgbf_kl1_f1,0.364498
train,fgbf_kl2_precision,0.668228
train,fgbf_kl2_recall,0.623452
train,fgbf_kl2_f1,0.645064
train,fgbf_boundary_KL1_to_KL0,476.000000
train,fgbf_boundary_KL1_to_KL2,255.000000
val,accuracy,0.558111
val,macro_precision,0.600206
val,macro_recall,0.617216
val,macro_f1,0.603693
val,weighted_precision,0.585107
val,weighted_recall,0.558111
val,weighted_f1,0.568094
val,mae,0.552058
val,qwk,0.715037
val,kl0_recall,0.588415
val,kl0_f1,0.632787
val,kl1_recall,0.359477
val,kl1_f1,0.308123
val,kl2_recall,0.561321
val,kl2_f1,0.557377
val,boundary_KL1_to_KL0,58.000000
val,boundary_KL1_to_KL2,34.000000
val,boundary_KL0_to_KL1,91.000000
val,boundary_KL2_to_KL1,54.000000
val,low_grade_min_recall,0.359477
val,low_grade_min_f1,0.308123
val,low_grade_worst_class,1.000000
val,fgbf_low_grade_accuracy,0.548341
val,fgbf_kl0_precision,0.688136
val,fgbf_kl0_recall,0.618902
val,fgbf_kl0_f1,0.651685
val,fgbf_kl1_precision,0.273196
val,fgbf_kl1_recall,0.346405
val,fgbf_kl1_f1,0.305476
val,fgbf_kl2_precision,0.607843
val,fgbf_kl2_recall,0.584906
val,fgbf_kl2_f1,0.596154
val,fgbf_boundary_KL1_to_KL0,63.000000
val,fgbf_boundary_KL1_to_KL2,37.000000
test,accuracy,0.562802
test,macro_precision,0.583907
test,macro_recall,0.614934
test,macro_f1,0.595976
test,weighted_precision,0.577702
test,weighted_recall,0.562802
test,weighted_f1,0.568056
test,mae,0.542271
test,qwk,0.733603
test,kl0_recall,0.627543
test,kl0_f1,0.646774
test,kl1_recall,0.314189
test,kl1_f1,0.278443
test,kl2_recall,0.494407
test,kl2_f1,0.533816
test,boundary_KL1_to_KL0,126.000000
test,boundary_KL1_to_KL2,68.000000
test,boundary_KL0_to_KL1,164.000000
test,boundary_KL2_to_KL1,106.000000
test,low_grade_min_recall,0.314189
test,low_grade_min_f1,0.278443
test,low_grade_worst_class,1.000000
test,fgbf_low_grade_accuracy,0.553546
test,fgbf_kl0_precision,0.663492
test,fgbf_kl0_recall,0.654147
test,fgbf_kl0_f1,0.658786
test,fgbf_kl1_precision,0.244898
test,fgbf_kl1_recall,0.283784
test,fgbf_kl1_f1,0.262911
test,fgbf_kl2_precision,0.643032
test,fgbf_kl2_recall,0.588367
test,fgbf_kl2_f1,0.614486
test,fgbf_boundary_KL1_to_KL0,136.000000
test,fgbf_boundary_KL1_to_KL2,76.000000
