split,metric,value
val,accuracy,0.602906
val,macro_precision,0.638497
val,macro_recall,0.512132
val,macro_f1,0.498750
val,weighted_precision,0.579476
val,weighted_recall,0.602906
val,weighted_f1,0.542953
val,mae,0.573850
val,qwk,0.676371
val,kl0_recall,0.844512
val,kl1_recall,0.019608
val,kl1_f1,0.037500
val,kl2_recall,0.608491
val,boundary_KL1_to_KL0,95.000000
val,boundary_KL1_to_KL2,44.000000
val,boundary_KL0_to_KL1,4.000000
val,boundary_KL2_to_KL1,0.000000
val,fgbf_low_grade_accuracy,0.617605
val,fgbf_kl0_precision,0.635747
val,fgbf_kl0_recall,0.856707
val,fgbf_kl0_f1,0.729870
val,fgbf_kl1_precision,0.000000
val,fgbf_kl1_recall,0.000000
val,fgbf_kl1_f1,0.000000
val,fgbf_kl2_precision,0.588000
val,fgbf_kl2_recall,0.693396
val,fgbf_kl2_f1,0.636364
val,fgbf_boundary_KL1_to_KL0,97.000000
val,fgbf_boundary_KL1_to_KL2,56.000000
test,accuracy,0.603865
test,macro_precision,0.629312
test,macro_recall,0.482870
test,macro_f1,0.466088
test,weighted_precision,0.583257
test,weighted_recall,0.603865
test,weighted_f1,0.540990
test,mae,0.556763
test,qwk,0.694498
test,kl0_recall,0.882629
test,kl1_recall,0.016892
test,kl1_f1,0.032573
test,kl2_recall,0.581655
test,boundary_KL1_to_KL0,190.000000
test,boundary_KL1_to_KL2,85.000000
test,boundary_KL0_to_KL1,4.000000
test,boundary_KL2_to_KL1,2.000000
test,fgbf_low_grade_accuracy,0.634588
test,fgbf_kl0_precision,0.630122
test,fgbf_kl0_recall,0.890454
test,fgbf_kl0_f1,0.738003
test,fgbf_kl1_precision,0.750000
test,fgbf_kl1_recall,0.010135
test,fgbf_kl1_f1,0.020000
test,fgbf_kl2_precision,0.642105
test,fgbf_kl2_recall,0.682327
test,fgbf_kl2_f1,0.661605
test,fgbf_boundary_KL1_to_KL0,192.000000
test,fgbf_boundary_KL1_to_KL2,101.000000
