split,metric,value
val,accuracy,0.646489
val,macro_precision,0.674391
val,macro_recall,0.680973
val,macro_f1,0.675841
val,weighted_precision,0.656607
val,weighted_recall,0.646489
val,weighted_f1,0.649558
val,mae,0.423729
val,qwk,0.800499
val,kl0_recall,0.743902
val,kl0_f1,0.745038
val,kl1_recall,0.418301
val,kl1_f1,0.382090
val,kl2_recall,0.551887
val,kl2_f1,0.603093
val,boundary_KL1_to_KL0,59.000000
val,boundary_KL1_to_KL2,24.000000
val,boundary_KL0_to_KL1,61.000000
val,boundary_KL2_to_KL1,53.000000
val,low_grade_min_recall,0.418301
val,low_grade_min_f1,0.382090
val,low_grade_worst_class,1.000000
val,fgbf_low_grade_accuracy,0.630592
val,fgbf_kl0_precision,0.736364
val,fgbf_kl0_recall,0.740854
val,fgbf_kl0_f1,0.738602
val,fgbf_kl1_precision,0.342857
val,fgbf_kl1_recall,0.392157
val,fgbf_kl1_f1,0.365854
val,fgbf_kl2_precision,0.712766
val,fgbf_kl2_recall,0.632075
val,fgbf_kl2_f1,0.670000
val,fgbf_boundary_KL1_to_KL0,63.000000
val,fgbf_boundary_KL1_to_KL2,30.000000
test,accuracy,0.663043
test,macro_precision,0.673478
test,macro_recall,0.674927
test,macro_f1,0.672638
test,weighted_precision,0.661244
test,weighted_recall,0.663043
test,weighted_f1,0.660695
test,mae,0.389493
test,qwk,0.827769
test,kl0_recall,0.793427
test,kl0_f1,0.779400
test,kl1_recall,0.368243
test,kl1_f1,0.364548
test,kl2_recall,0.565996
test,kl2_f1,0.605988
test,boundary_KL1_to_KL0,111.000000
test,boundary_KL1_to_KL2,72.000000
test,boundary_KL0_to_KL1,96.000000
test,boundary_KL2_to_KL1,95.000000
test,low_grade_min_recall,0.368243
test,low_grade_min_f1,0.364548
test,low_grade_worst_class,1.000000
test,fgbf_low_grade_accuracy,0.662808
test,fgbf_kl0_precision,0.760181
test,fgbf_kl0_recall,0.788732
test,fgbf_kl0_f1,0.774194
test,fgbf_kl1_precision,0.355482
test,fgbf_kl1_recall,0.361486
test,fgbf_kl1_f1,0.358459
test,fgbf_kl2_precision,0.729665
test,fgbf_kl2_recall,0.682327
test,fgbf_kl2_f1,0.705202
test,fgbf_boundary_KL1_to_KL0,113.000000
test,fgbf_boundary_KL1_to_KL2,76.000000
