split,metric,value
train,accuracy,0.419668
train,macro_precision,0.157988
train,macro_recall,0.226160
train,macro_f1,0.170259
train,weighted_precision,0.264725
train,weighted_recall,0.419668
train,weighted_f1,0.301676
train,mae,1.071676
train,qwk,0.143896
val,accuracy,0.421308
val,macro_precision,0.162035
val,macro_recall,0.226875
val,macro_f1,0.170858
val,weighted_precision,0.267984
val,weighted_recall,0.421308
val,weighted_f1,0.301441
val,mae,1.078692
val,qwk,0.145702
test,accuracy,0.396135
test,macro_precision,0.145839
test,macro_recall,0.214463
test,macro_f1,0.154197
test,weighted_precision,0.244009
test,weighted_recall,0.396135
test,weighted_f1,0.273536
test,mae,1.141908
test,qwk,0.101407
