split,metric,value
train,accuracy,0.764370
train,macro_precision,0.817164
train,macro_recall,0.725490
train,macro_f1,0.755720
train,weighted_precision,0.765992
train,weighted_recall,0.764370
train,weighted_f1,0.751324
train,mae,0.303151
train,qwk,0.840923
val,accuracy,0.635593
val,macro_precision,0.680533
val,macro_recall,0.571812
val,macro_f1,0.604003
val,weighted_precision,0.627805
val,weighted_recall,0.635593
val,weighted_f1,0.619125
val,mae,0.492736
val,qwk,0.718604
test,accuracy,0.627415
test,macro_precision,0.661923
test,macro_recall,0.586954
test,macro_f1,0.612843
test,weighted_precision,0.615161
test,weighted_recall,0.627415
test,weighted_f1,0.612186
test,mae,0.489734
test,qwk,0.737483
