split,metric,value
val,accuracy,0.629540
val,macro_precision,0.659261
val,macro_recall,0.676377
val,macro_f1,0.664587
val,weighted_precision,0.628236
val,weighted_recall,0.629540
val,weighted_f1,0.626780
val,mae,0.462470
val,qwk,0.770176
val,kl0_recall,0.756098
val,kl0_f1,0.718841
val,kl1_recall,0.333333
val,kl1_f1,0.333333
val,kl2_recall,0.537736
val,kl2_f1,0.578680
val,boundary_KL1_to_KL0,73.000000
val,boundary_KL1_to_KL2,27.000000
val,boundary_KL0_to_KL1,54.000000
val,boundary_KL2_to_KL1,47.000000
val,low_grade_min_recall,0.333333
val,low_grade_min_f1,0.333333
val,low_grade_worst_class,1.000000
val,fgbf_low_grade_accuracy,0.598846
val,fgbf_kl0_precision,0.683196
val,fgbf_kl0_recall,0.756098
val,fgbf_kl0_f1,0.717800
val,fgbf_kl1_precision,0.309353
val,fgbf_kl1_recall,0.281046
val,fgbf_kl1_f1,0.294521
val,fgbf_kl2_precision,0.649215
val,fgbf_kl2_recall,0.584906
val,fgbf_kl2_f1,0.615385
val,fgbf_boundary_KL1_to_KL0,77.000000
val,fgbf_boundary_KL1_to_KL2,33.000000
test,accuracy,0.660024
test,macro_precision,0.679880
test,macro_recall,0.681090
test,macro_f1,0.678026
test,weighted_precision,0.661550
test,weighted_recall,0.660024
test,weighted_f1,0.657350
test,mae,0.400362
test,qwk,0.819042
test,kl0_recall,0.807512
test,kl0_f1,0.760501
test,kl1_recall,0.351351
test,kl1_f1,0.344371
test,kl2_recall,0.552573
test,kl2_f1,0.618273
test,boundary_KL1_to_KL0,136.000000
test,boundary_KL1_to_KL2,52.000000
test,boundary_KL0_to_KL1,98.000000
test,boundary_KL2_to_KL1,101.000000
test,low_grade_min_recall,0.351351
test,low_grade_min_f1,0.344371
test,low_grade_worst_class,1.000000
test,fgbf_low_grade_accuracy,0.640376
test,fgbf_kl0_precision,0.699732
test,fgbf_kl0_recall,0.816901
test,fgbf_kl0_f1,0.753791
test,fgbf_kl1_precision,0.349442
test,fgbf_kl1_recall,0.317568
test,fgbf_kl1_f1,0.332743
test,fgbf_kl2_precision,0.732970
test,fgbf_kl2_recall,0.601790
test,fgbf_kl2_f1,0.660934
test,fgbf_boundary_KL1_to_KL0,144.000000
test,fgbf_boundary_KL1_to_KL2,58.000000
