split,metric,value
train,accuracy,0.250000
train,macro_precision,0.154545
train,macro_recall,0.250000
train,macro_f1,0.152381
train,weighted_precision,0.176136
train,weighted_recall,0.250000
train,weighted_f1,0.163690
train,mae,1.312500
train,qwk,-0.094972
train,kl0_recall,0.250000
train,kl1_recall,0.000000
train,kl1_f1,0.000000
train,kl2_recall,1.000000
train,boundary_KL1_to_KL0,0.000000
train,boundary_KL1_to_KL2,3.000000
train,boundary_KL0_to_KL1,0.000000
train,boundary_KL2_to_KL1,0.000000
train,fgbf_low_grade_accuracy,0.400000
train,fgbf_kl0_precision,0.400000
train,fgbf_kl0_recall,1.000000
train,fgbf_kl0_f1,0.571429
train,fgbf_kl1_precision,0.000000
train,fgbf_kl1_recall,0.000000
train,fgbf_kl1_f1,0.000000
train,fgbf_kl2_precision,0.000000
train,fgbf_kl2_recall,0.000000
train,fgbf_kl2_f1,0.000000
train,fgbf_boundary_KL1_to_KL0,3.000000
train,fgbf_boundary_KL1_to_KL2,0.000000
val,accuracy,0.187500
val,macro_precision,0.100000
val,macro_recall,0.200000
val,macro_f1,0.133333
val,weighted_precision,0.093750
val,weighted_recall,0.187500
val,weighted_f1,0.125000
val,mae,1.750000
val,qwk,-0.309735
val,kl0_recall,0.000000
val,kl1_recall,0.000000
val,kl1_f1,0.000000
val,kl2_recall,0.666667
val,boundary_KL1_to_KL0,1.000000
val,boundary_KL1_to_KL2,1.000000
val,boundary_KL0_to_KL1,0.000000
val,boundary_KL2_to_KL1,0.000000
val,fgbf_low_grade_accuracy,0.400000
val,fgbf_kl0_precision,0.400000
val,fgbf_kl0_recall,1.000000
val,fgbf_kl0_f1,0.571429
val,fgbf_kl1_precision,0.000000
val,fgbf_kl1_recall,0.000000
val,fgbf_kl1_f1,0.000000
val,fgbf_kl2_precision,0.000000
val,fgbf_kl2_recall,0.000000
val,fgbf_kl2_f1,0.000000
val,fgbf_boundary_KL1_to_KL0,3.000000
val,fgbf_boundary_KL1_to_KL2,0.000000
